id,gender,location_district,location_upazila,location_village,caller_need,note,status,resolve_organization,feedback_status,resolve_comment,resolve_at,created_at
1,Unknown,FENI,FULGAZI,Munshirhat ( Madarashar buling) Broad Office site,Rescue,Food needed,Resolved,Volunteer,Unknown,Done,08/24/2024,08/23/2024
2,Unknown,NOAKHALI,NOAKHALI SADAR,Baraipur,Rescue,medicine,Resolved,not applicable,got_no_help,requesting for help,08/24/2024,08/23/2024
3,Unknown,FENI,FENI SADAR,Bhalukia,Rescue,,Resolved,Not applicable,did_not_answer,requesting for help,08/24/2024,08/23/2024
4,Unknown,FENI,FENI SADAR,Motabi,Rescue,,Pending,Unknown,Unknown,,08/24/24,08/23/2024
5,Unknown,NOAKHALI,NOAKHALI SADAR,Lalanagar (Khillarchar Govt Primary School),Rescue,,Resolved,Not Applicable,got_no_help,requesting for help,08/24/2024,08/23/2024
6,Unknown,FENI,FENI SADAR,Feni Sadar,Rescue,,Resolved,Not Applicable,did_not_answer,Requesting for help,08/24/2024,08/23/2024
7,Unknown,NOAKHALI,SONAIMURI,Dakkhin Ambanagar (Dakkhin Ambanagar Government Primary School),Rescue,,Resolved,Not applicable,did_not_answer,Requesting for help,08/24/2024,08/23/2024
8,Unknown,FENI,CHHAGALNAIYA,Chanpur,Rescue,,Resolved,Not applicable,got_no_help,Requesting for help,08/24/2024,08/23/2024
9,Unknown,FENI,FULGAZI,Uttor Sreepur,Rescue,,Resolved,Not applicable,did_not_answer,Requesting for help,08/24/2024,08/23/2024
10,Unknown,FENI,FULGAZI,Uttar Sreepur (Joflon Kalibari),Rescue,,Pending,Unknown,Unknown,,08/24/24,08/23/2024
11,Unknown,FENI,CHHAGALNAIYA,Sunapur,Rescue,,Resolved,Not applicable,got_no_help,Requesting for help,08/24/2024,08/23/2024
12,Unknown,NOAKHALI,NOAKHALI SADAR,Purba Lakkhinarayapur (Dervish Colony),Rescue,,Resolved,DC Office,Resolved,Rescue Team From DC Office,08/24/2024,08/23/2024
13,Unknown,FENI,CHHAGALNAIYA,Purba Ghopal ( Joypur Sorojini High School ),Rescue,,Resolved,Not applicable,switch_off,Requesting for help,08/24/2024,08/23/2024
14,Unknown,FENI,FENI SADAR,Motabi,Rescue,,Pending,Unknown,Unknown,,08/24/24,08/23/2024
15,Unknown,FENI,FENI SADAR,Chhanuabazar .( Jamal Hona Moulvibari) Ward: 03,Rescue,,Pending,Unknown,Unknown,,08/24/24,08/23/2024
16,Unknown,FENI,FENI SADAR,Pashchim Rampur,Rescue,,Pending,Unknown,Unknown,,08/24/24,08/23/2024
17,Unknown,LAKSHMIPUR,KAMALNAGAR,Char Basu(Haque Shaheb Bazar),Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
18,Unknown,FENI,FENI SADAR,Goharua (Goharua Primary School),Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
19,Unknown,CHANDPUR,SHAHRASTI,Shimulia,Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
20,Unknown,BARGUNA,BARGUNA SADAR,Badarkhali,Food,Food needed,Resolved,Go No Help,got_no_help,Requesting for help,09/03/2024,08/23/2024
21,Unknown,NOAKHALI,SENBAG,Baliakandi,Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
22,Unknown,CUMILLA,CUMILLA SADAR DAKKHIN,Hossainpur (Rasulpur Government Primary School),Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
23,Unknown,NOAKHALI,SENBAG,Yarpur (Yarpur Government High School),Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
24,Unknown,NOAKHALI,CHATKHIL,Purba Sreenagar (West Sreenagar Government Primary School),Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
25,Unknown,NOAKHALI,NOAKHALI SADAR,Chandropur,Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
26,Unknown,NOAKHALI,NOAKHALI SADAR,Baraipur,Food,Food needed,Resolved,not applicable,got_no_help,requesting for help,08/24/2024,08/23/2024
27,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Sharifpur,Food,Food needed,Resolved,UP Member,Resolved,Rescue Team From UP Member,08/24/2024,08/23/2024
28,Unknown,CHATTOGRAM,BANSHKHALI,Chechuri,Food,Food needed,Resolved,UP Member,Resolved,Rescue Team From UP Member,08/24/2024,08/23/2024
29,Unknown,CHANDPUR,FARIDGANJ,Paschim Joysree,Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
30,Unknown,NOAKHALI,BEGUMGANJ,Kamdebpur,Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
31,Unknown,CHANDPUR,FARIDGANJ,Paschim Joysree,Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
32,Unknown,NOAKHALI,KABIRHAT,Malipara (Companyhat Government Primary School),Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
33,Unknown,NOAKHALI,SUBARNACHAR,Uttar Kanchapia,Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
34,Unknown,NOAKHALI,KABIRHAT,Nabagram,Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
35,Unknown,FENI,DAGANBHUIYAN,Daganbhuiya Thana Site,Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
36,Unknown,NOAKHALI,NOAKHALI SADAR,#VALUE!,Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
37,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Kotubpur,Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
38,Unknown,FENI,CHHAGALNAIYA,Purba Ghopal ( Joypur Sorojini High School ),Food,Food needed,Resolved,Not applicable,switch_off,Requesting for help,08/24/2024,08/23/2024
39,Unknown,NOAKHALI,KABIRHAT,Gushbag,Food,Food needed,Resolved,Not applicable,got_no_help,Requesting for help,08/24/2024,08/23/2024
40,Unknown,CUMILLA,MANOHARGANJ,Pashchim Hatimara (Kader Bepari Bari Masjid),Rescue,,Pending,Unknown,Unknown,,08/24/24,08/23/2024
41,Unknown,FENI,FENI SADAR,Motabi,Rescue,,Resolved,Not applicable,got_no_help,Requesting for help,08/24/2024,08/23/2024
42,Unknown,NOAKHALI,SUBARNACHAR,Charjubli,Food,Food needed,Resolved,UNO Office,Resolved,Rescue Team From UNO office,08/24/2024,08/23/2024
43,Unknown,FENI,CHHAGALNAIYA,#VALUE!,Rescue,,Resolved,Not applicable,switch_off,Requesting for help,08/24/2024,08/23/2024
44,Unknown,NOAKHALI,SUBARNACHAR,Char Jubili,Food,Food needed,Resolved,UNO Office,Resolved,Rescue Team From UNO office,08/24/2024,08/23/2024
45,Unknown,NOAKHALI,NOAKHALI SADAR,Makimpur (Ashram Project Jame Masjid),Rescue,,Resolved,Not applicable,got_no_help,Requesting for help,08/24/2024,08/23/2024
46,Unknown,NOAKHALI,NOAKHALI SADAR,Char Dabesh,Rescue,,Resolved,Got No Help,got_no_help,requesting for help,08/28/2024,08/23/2024
47,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Kalirchar,Rescue,Food needed,Resolved,UP Secretary,Resolved,Rescue Team From UP Secretary,08/24/2024,08/23/2024
48,Unknown,FENI,CHHAGALNAIYA,Niz Panua ( Niz Panua High School ) Ward No : 02,Rescue,,Resolved,"Navy, Coast Guard, Civilian",Resolved,"Rescue Team From Navy, Coast Guard, Civilian",08/24/2024,08/23/2024
49,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Narsinghapur,Food,Food needed,Resolved,Not applicable,did_not_answer,Requesting for help,08/24/2024,08/23/2024
50,Unknown,FENI,CHHAGALNAIYA,Doulatpur (Muhuri Gang Babar,Rescue,Food needed,Resolved,Not applicable,switch_off,Requesting for help,08/24/2024,08/23/2024
51,Unknown,NOAKHALI,SUBARNACHAR,Uttar Karchapia,Food,Food needed,Resolved,Not applicable,switch_off,Requesting for help,08/24/2024,08/23/2024
52,Unknown,FENI,FENI SADAR,Niz Panua ( Niz Panua High School ) Ward No : 02,Rescue,,Resolved,"Navy, Coast Guard, Civilian",Resolved,"Rescue Team From Navy, Coast Guard, Civilian",08/24/2024,08/23/2024
53,Unknown,FENI,FENI SADAR,Kalidaha,Rescue,,Resolved,Not Applicable,did_not_answer,Call not received,08/25/2024,08/23/2024
54,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Char Matua,Food,Food needed,Resolved,Not Applicable,did_not_answer,Call not received,08/25/2024,08/23/2024
55,Unknown,NOAKHALI,BEGUMGANJ,Aladinagar,Food,Food needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
56,Unknown,FENI,LAKSHMIPUR SADAR,Char Elahi,Food,Food needed,Resolved,Not Applicable,switch_off,Switch Off,08/25/2024,08/23/2024
57,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Dakkhin Maguri,Food,Food needed,Pending,Unknown,Unknown,,08/24/24,08/23/2024
58,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Kutubpur,Food,Food needed,Resolved,Not Applicable,got_no_help,requesting for help,08/25/2024,08/23/2024
59,Unknown,MOULVIBAZAR,RAJNAGAR,Mansurnagar,Rescue,,Resolved,Volunteer,Resolved,Rescue Team from Volunteer,08/25/2024,08/23/2024
60,Unknown,FENI,FENI SADAR,Ambor Ali Hazi Bari,Rescue,,Resolved,Not Applicable,switch_off,Switch Off,08/25/2024,08/23/2024
61,Unknown,NOAKHALI,NOAKHALI SADAR,NamNoakhali Moujah,Rescue,Food needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
62,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Dakkin Rajapur,Food,Food needed,Resolved,Got No help,Resolved,requesting for help,08/25/2024,08/23/2024
63,Unknown,NOAKHALI,NOAKHALI SADAR,Lalanagar,Food,Food needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
64,Unknown,NOAKHALI,NOAKHALI SADAR,Lalanagar,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
65,Unknown,FENI,FULGAZI,Uttar Sreepur (In a two-storey house inside a three-storey house,Rescue,,Resolved,Not Applicable,did_not_answer,Switch Off,08/25/2024,08/23/2024
66,Unknown,FENI,FENI SADAR,Satsati Uttor Purbopara,Rescue,,Resolved,Not Applicable,did_not_answer,Call not received,08/25/2024,08/23/2024
67,Unknown,FENI,FULGAZI,Uttar Sreepur (In a two-storey house inside a three-storey house,Rescue,,Resolved,Not Applicable,did_not_answer,Call not received,08/25/2024,08/23/2024
68,Unknown,MOULVIBAZAR,RAJNAGAR,Mansurnagar,Rescue,,Resolved,Volunteer,Resolved,Rescue Team from Volunteer,08/25/2024,08/23/2024
69,Unknown,FENI,CHHAGALNAIYA,Joychandpur,Rescue,,Resolved,District Commissioner,Resolved,Rescue Team from DC office,08/25/2024,08/23/2024
70,Unknown,FENI,FULGAZI,Dakkhin Anandapur,Rescue,,Resolved,Not Applicable,switch_off,Switch Off,08/25/2024,08/23/2024
71,Unknown,NOAKHALI,NOAKHALI SADAR,dakkhin ramhari taluk,Food,Food Needed,Resolved,Not Applicable,got_no_help,requesting for help,08/25/2024,08/23/2024
72,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Kalirchar,Food,Food Needed,Resolved,UP Member,Resolved,Rescue Team from UP Member,08/25/2024,08/23/2024
73,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Kalirchar,Food,Food Needed,Resolved,UP Secretary,Resolved,Rescue Team From UP Secretary,08/24/2024,08/23/2024
74,Unknown,NOAKHALI,SENBAG,1 No. Gopalpur,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
75,Unknown,FENI,CHHAGALNAIYA,Doulatpur (Muhuri Gang Babar,Food,Food Needed,Resolved,Not applicable,switch_off,Requesting for help,08/24/2024,08/23/2024
76,Unknown,NOAKHALI,KABIRHAT,Malipara,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
77,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Pachim Dihali,Food,Food Needed,Resolved,Got No Help,got_no_help,Requesting for help,08/29/2024,08/23/2024
78,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Pashchim Dighali (Dighali Bazar),Food,Food Needed,Resolved,Got No Help,got_no_help,Requesting for help,08/29/2024,08/23/2024
79,Unknown,MOULVIBAZAR,MOULVIBAZAR SADAR,Sherpur (Azad Box High School and College),Food,Food Needed,Resolved,Not Applicable,did_not_answer,Call not received,08/25/2024,08/23/2024
80,Unknown,FENI,SONAGAZI,Char Elahi,Food,Food Needed,Resolved,Not Applicable,switch_off,Switch Off,08/25/2024,08/23/2024
81,Unknown,NOAKHALI,NOAKHALI SADAR,Char Darbesh,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
82,Unknown,LAKSHMIPUR,LAKSHMIPUR SADAR,Purba Aladadpur,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
83,Unknown,NOAKHALI,KABIRHAT,Malipara,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
84,Unknown,NOAKHALI,CHATKHIL,Noakhala,Food,Food Needed,Resolved,Not Applicable,switch_off,Switch Off,08/25/2024,08/23/2024
85,Unknown,NOAKHALI,NOAKHALI SADAR,Char Darbesh,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
86,Unknown,NOAKHALI,KABIRHAT,Purbo Malipara,Food,Food Needed,Resolved,Got No help,got_no_help,requesting for help,08/25/2024,08/23/2024
